run,concept,F1_tuned,F1_at_0p90
ens_top6_broad,nuclear_lobulation_degree,0.9590,yes
ens_top6_broad,nuclear_contour_irregularity,0.6857,no
ens_top6_broad,nucleus_to_cytoplasm_ratio,0.9892,yes
ens_top6_broad,chromatin_condensation_level,1.0000,yes
ens_top6_broad,chromatin_clumping_pattern,0.8597,no
ens_top6_broad,cytoplasmic_granule_density,0.9422,yes
ens_top6_broad,granule_coarseness,0.8824,no
ens_top6_broad,cytoplasmic_texture_uniformity,0.9057,yes
ens_top6_broad,cytoplasm_basophilia_level,0.8500,no
ens_top6_broad,cytoplasmic_inclusion_visibility,0.8500,no
ens_BS_s42,nuclear_lobulation_degree,0.9707,yes
ens_BS_s42,nuclear_contour_irregularity,0.9189,yes
ens_BS_s42,nucleus_to_cytoplasm_ratio,0.9940,yes
ens_BS_s42,chromatin_condensation_level,1.0000,yes
ens_BS_s42,chromatin_clumping_pattern,0.9159,yes
ens_BS_s42,cytoplasmic_granule_density,0.9619,yes
ens_BS_s42,granule_coarseness,0.8649,no
ens_BS_s42,cytoplasmic_texture_uniformity,0.9952,yes
ens_BS_s42,cytoplasm_basophilia_level,0.7647,no
ens_BS_s42,cytoplasmic_inclusion_visibility,0.7059,no
r1v14_kitchen_s42,nuclear_lobulation_degree,0.9637,yes
r1v14_kitchen_s42,nuclear_contour_irregularity,0.8947,no
r1v14_kitchen_s42,nucleus_to_cytoplasm_ratio,0.9940,yes
r1v14_kitchen_s42,chromatin_condensation_level,1.0000,yes
r1v14_kitchen_s42,chromatin_clumping_pattern,0.9023,yes
r1v14_kitchen_s42,cytoplasmic_granule_density,0.9462,yes
r1v14_kitchen_s42,granule_coarseness,0.8889,no
r1v14_kitchen_s42,cytoplasmic_texture_uniformity,0.9964,yes
r1v14_kitchen_s42,cytoplasm_basophilia_level,0.7692,no
r1v14_kitchen_s42,cytoplasmic_inclusion_visibility,0.7692,no
r1v14_kitchen_s2024,nuclear_lobulation_degree,0.9491,yes
r1v14_kitchen_s2024,nuclear_contour_irregularity,0.7222,no
r1v14_kitchen_s2024,nucleus_to_cytoplasm_ratio,0.9807,yes
r1v14_kitchen_s2024,chromatin_condensation_level,1.0000,yes
r1v14_kitchen_s2024,chromatin_clumping_pattern,0.8279,no
r1v14_kitchen_s2024,cytoplasmic_granule_density,0.9395,yes
r1v14_kitchen_s2024,granule_coarseness,0.9412,yes
r1v14_kitchen_s2024,cytoplasmic_texture_uniformity,0.8011,no
r1v14_kitchen_s2024,cytoplasm_basophilia_level,0.8649,no
r1v14_kitchen_s2024,cytoplasmic_inclusion_visibility,0.8649,no
