backbone,config,class_acc,weighted_f1,macro_f1,concept_f1,violation_rate,probe_acc,conformal_cov_a05
DinoBloom-S,baseline,0.9507,0.9467,0.5676,,,,
DinoBloom-S,joint_unconst,0.9485,0.9455,0.6005,0.8480,0.0017,0.9581,0.9953
DinoBloom-S,joint_const,0.9491,0.9463,0.6040,0.8452,0.0007,0.9627,0.9954
DinoBloom-S,joint_const_posw,0.9515,0.9491,0.6202,0.8193,0.0010,0.9613,0.9904
DinoBloom-S,frozen_unconst,0.1408,0.1960,0.0387,0.8480,0.0017,0.9581,0.9953
DinoBloom-S,frozen_const,0.1408,0.1960,0.0387,0.8452,0.0007,0.9627,0.9954
DINOv2-ViT-B/14,baseline,0.8685,0.8487,0.2799,,,,
DINOv2-ViT-B/14,joint_const,0.8671,0.8443,0.2659,0.7601,0.0008,0.9396,0.9895
DINOv2-ViT-B/14,joint_const_posw,0.8658,0.8429,0.2654,0.7864,0.0020,0.9439,0.9858
ResNet-50,baseline,0.7980,0.7687,0.2313,,,,
ResNet-50,joint_const,0.7936,0.7640,0.2290,0.6101,0.0051,0.8636,0.9659
ResNet-50,joint_const_posw,0.7904,0.7602,0.2274,0.5979,0.0058,0.8925,0.9705
