config,backbone,split,metric,class,value,artifact
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Normal,0.9720,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Hypersegmentation,0.8947,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Hypogranulation,0.8692,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Hypergranulation,0.8421,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Hyposegmentation,0.8158,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Dohle,0.7442,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,per_class_f1,Chromatin,0.7273,results/figures_v2/per_class_breakdown.csv (r1v14_kitchen_s42)
joint_cbm,dinobloom_b_ft,gr_neutro_7class_test_s42,weighted_f1,OVERALL,0.8899,results/figures_v2/main_results_table.csv (r1v14_kitchen_s42)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Normal,0.9513,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Hypergranulation,0.9300,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Hypogranulation,0.8068,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Hyposegmentation,0.7987,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Chromatin,0.6923,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Hypersegmentation,0.6041,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_frozen,gr_neutro_7class_test_6seed,per_class_wf1,Dohle,0.6123,residual_cbm.py 6-seed mean (frozen)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Normal,0.9803,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypergranulation,0.9619,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypogranulation,0.8921,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hyposegmentation,0.8943,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypersegmentation,0.8158,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Chromatin,0.8543,residual_cbm.py 6-seed mean (fine-tuned last-4)
backbone_mlp,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Dohle,0.8145,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Normal,0.9769,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypergranulation,0.9379,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypogranulation,0.8867,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hyposegmentation,0.8774,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypersegmentation,0.8034,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Chromatin,0.8304,residual_cbm.py 6-seed mean (fine-tuned last-4)
pcbmh,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Dohle,0.8220,residual_cbm.py 6-seed mean (fine-tuned last-4)
cem,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Normal,0.9748,residual_cbm.py 6-seed mean (fine-tuned last-4)
cem,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypergranulation,0.9529,residual_cbm.py 6-seed mean (fine-tuned last-4)
cem,dinobloom_b_ft,gr_neutro_7class_test_6seed,per_class_wf1,Hypogranulation,0.8769,residual_cbm.py 6-seed mean (fine-tuned last-4)
