run,class,F1_tuned,F1_at_0p90
ens_top6_broad,Normal,0.9700,yes
ens_top6_broad,Chromatin,0.7887,no
ens_top6_broad,Dohle,0.8718,no
ens_top6_broad,Hypergranulation,0.8824,no
ens_top6_broad,Hypersegmentation,0.7568,no
ens_top6_broad,Hypogranulation,0.8536,no
ens_top6_broad,Hyposegmentation,0.8322,no
ens_BS_s42,Normal,0.9850,yes
ens_BS_s42,Chromatin,0.6829,no
ens_BS_s42,Dohle,0.8235,no
ens_BS_s42,Hypergranulation,0.8649,no
ens_BS_s42,Hypersegmentation,0.9444,yes
ens_BS_s42,Hypogranulation,0.9005,yes
ens_BS_s42,Hyposegmentation,0.8406,no
r1v14_kitchen_s42,Normal,0.9720,yes
r1v14_kitchen_s42,Chromatin,0.7273,no
r1v14_kitchen_s42,Dohle,0.7442,no
r1v14_kitchen_s42,Hypergranulation,0.8421,no
r1v14_kitchen_s42,Hypersegmentation,0.8947,no
r1v14_kitchen_s42,Hypogranulation,0.8692,no
r1v14_kitchen_s42,Hyposegmentation,0.8158,no
r1v14_kitchen_s2024,Normal,0.9652,yes
r1v14_kitchen_s2024,Chromatin,0.7105,no
r1v14_kitchen_s2024,Dohle,0.8718,no
r1v14_kitchen_s2024,Hypergranulation,0.9375,yes
r1v14_kitchen_s2024,Hypersegmentation,0.8000,no
r1v14_kitchen_s2024,Hypogranulation,0.8522,no
r1v14_kitchen_s2024,Hyposegmentation,0.8378,no
r0_baseline_s2024,Normal,0.9676,yes
r0_baseline_s2024,Chromatin,0.7568,no
r0_baseline_s2024,Dohle,0.7273,no
r0_baseline_s2024,Hypergranulation,0.9091,yes
r0_baseline_s2024,Hypersegmentation,0.7692,no
r0_baseline_s2024,Hypogranulation,0.8559,no
r0_baseline_s2024,Hyposegmentation,0.8276,no
