section,weight_or_method,architecture,split,metric,value
end_to_end,joint_cbm_dinobloomB_ft_s42.pt,Joint CBM,own_test_s42,weighted_f1,0.912
end_to_end,joint_cbm_dinobloomB_ft_s42.pt,Joint CBM,own_test_s42,macro_f1,0.861
end_to_end,joint_cbm_dinobloomB_ft_s42.pt,Joint CBM,own_test_s42,subset_acc,0.865
end_to_end,joint_cbm_dinobloomB_ft_s42.pt,Joint CBM,multiseed,weighted_f1_mean,0.887
end_to_end,pure_bottleneck_cbm_dinobloomB_ft_s42.pt,Pure-bottleneck CBM,own_test_s42,weighted_f1,0.909
end_to_end,pure_bottleneck_cbm_dinobloomB_ft_s42.pt,Pure-bottleneck CBM,own_test_s42,macro_f1,0.862
end_to_end,pure_bottleneck_cbm_dinobloomB_ft_s42.pt,Pure-bottleneck CBM,own_test_s42,subset_acc,0.847
end_to_end,backbone_baseline_dinobloomB_ft_s42.pt,No-concept backbone baseline,own_test_s42,weighted_f1,0.907
end_to_end,backbone_baseline_dinobloomB_ft_s42.pt,No-concept backbone baseline,own_test_s42,macro_f1,0.865
end_to_end,backbone_baseline_dinobloomB_ft_s42.pt,No-concept backbone baseline,own_test_s42,subset_acc,0.868
end_to_end,cbm_sequential_dinobloomB_ft_s42.pt,Sequential CBM,own_test_s42,weighted_f1,0.873
end_to_end,cbm_sequential_dinobloomB_ft_s42.pt,Sequential CBM,own_test_s42,macro_f1,0.804
end_to_end,cbm_sequential_dinobloomB_ft_s42.pt,Sequential CBM,own_test_s42,subset_acc,0.756
end_to_end,cbm_independent_dinobloomB_ft_s42.pt,Independent CBM,own_test_s42,weighted_f1,0.772
end_to_end,cbm_independent_dinobloomB_ft_s42.pt,Independent CBM,own_test_s42,macro_f1,0.748
end_to_end,cbm_independent_dinobloomB_ft_s42.pt,Independent CBM,own_test_s42,subset_acc,0.585
per_class_f1,Normal,,own_test_s42,joint_cbm,0.987
per_class_f1,Normal,,own_test_s42,pure_bottleneck,0.980
per_class_f1,Normal,,own_test_s42,backbone_baseline,0.982
per_class_f1,Normal,,own_test_s42,sequential,0.962
per_class_f1,Normal,,own_test_s42,independent,0.791
per_class_f1,Hypogranulation,,own_test_s42,joint_cbm,0.903
per_class_f1,Hypogranulation,,own_test_s42,pure_bottleneck,0.910
per_class_f1,Hypogranulation,,own_test_s42,backbone_baseline,0.897
per_class_f1,Hypogranulation,,own_test_s42,sequential,0.888
per_class_f1,Hypogranulation,,own_test_s42,independent,0.824
per_class_f1,Hyposegmentation,,own_test_s42,joint_cbm,0.855
per_class_f1,Hyposegmentation,,own_test_s42,pure_bottleneck,0.826
per_class_f1,Hyposegmentation,,own_test_s42,backbone_baseline,0.821
per_class_f1,Hyposegmentation,,own_test_s42,sequential,0.846
per_class_f1,Hyposegmentation,,own_test_s42,independent,0.786
per_class_f1,Chromatin,,own_test_s42,joint_cbm,0.694
per_class_f1,Chromatin,,own_test_s42,pure_bottleneck,0.750
per_class_f1,Chromatin,,own_test_s42,backbone_baseline,0.719
per_class_f1,Chromatin,,own_test_s42,sequential,0.429
per_class_f1,Chromatin,,own_test_s42,independent,0.437
per_class_f1,Hypersegmentation,,own_test_s42,joint_cbm,0.895
per_class_f1,Hypersegmentation,,own_test_s42,pure_bottleneck,0.919
per_class_f1,Hypersegmentation,,own_test_s42,backbone_baseline,0.919
per_class_f1,Hypersegmentation,,own_test_s42,sequential,0.919
per_class_f1,Hypersegmentation,,own_test_s42,independent,0.872
per_class_f1,Dohle,,own_test_s42,joint_cbm,0.848
per_class_f1,Dohle,,own_test_s42,pure_bottleneck,0.757
per_class_f1,Dohle,,own_test_s42,backbone_baseline,0.848
per_class_f1,Dohle,,own_test_s42,sequential,0.743
per_class_f1,Dohle,,own_test_s42,independent,0.684
per_class_f1,Hypergranulation,,own_test_s42,joint_cbm,0.842
per_class_f1,Hypergranulation,,own_test_s42,pure_bottleneck,0.889
per_class_f1,Hypergranulation,,own_test_s42,backbone_baseline,0.865
per_class_f1,Hypergranulation,,own_test_s42,sequential,0.842
per_class_f1,Hypergranulation,,own_test_s42,independent,0.842
feature_bank_head,backbone_mlp,reference,residual_cbm_frozen_6seed,weighted_f1,0.8495
feature_bank_head,cem,CEM,residual_cbm_frozen_6seed,weighted_f1,0.8471
feature_bank_head,pcbmh,PCBM-h r=10,residual_cbm_frozen_6seed,weighted_f1,0.8297
feature_bank_head,pcbmh_highrank,PCBM-h r=64,residual_cbm_frozen_6seed,weighted_f1,0.8318
feature_bank_head,pure_bottleneck,Pure-bottleneck head,residual_cbm_frozen_6seed,weighted_f1,0.7984
